冫水 冰
冰台 冶
冫台 冶
冰令 冷
冫令 冷
冰隹 准
冫隹 准
冰争 净
冫争 净
冰周 凋
冫周 凋
冰夌 凌
冫夌 凌
冰东 冻
冫东 冻
冰禀 凛
冫禀 凛
冰疑 凝
冫疑 凝
丿乙 几
几丶 凡
夕卜 处
夂卜 处
几皇 凰
岂几 凯
登几 凳
凵乂 凶
山山 出
山凵 出
凵丨凵 出
凵氶 函
刀丶 刃
八刀 分
七刀 切
干刀 刊
干刂 刊
开刀 刑
开刂 刑
戈刀 划
戈刂 划
歹刀 列
歹刂 列
衣刀 初
衤刀 初
半刀 判
半刂 判
另刀 别
另刂 别
去力 劫
去力 劫
包刀 刨
包刂 刨
禾刀 利
禾刂 利
册刀 删
册刂 删
舌刀 刮
舌刂 刮
至刀 到
至刂 到
朵刀 剁
朵刂 剁
丿二巾刀 制
丿二巾刂 制
尸巾刀 刷
尸巾刂 刷
丷夫刀 券
朿刀 刺
朿刂 刺
木冂刀 刺
木冂刂 刺
亥刀 刻
亥刂 刻
去力 劫
朵刀 剁
朵刂 剁
弟刀 剃
弟刂 剃
贝刀 则
贝刂 则
肖刀 削
肖刂 削
十兄 克
十口儿 克
丷一肉刀 前
丷一月刂 前
杀刀 刹
杀刂 刹
易刀 剔
易刂 剔
咅刀 剖
咅刂 剖
立口刀 剖
立口刂 剖
冈刀 刚
冈刂 刚
录刀 剥
录刂 剥
佥刀 剑
佥刂 剑
齐刀 剂
齐刂 剂
乘刀 剩
乘刂 剩
前刀 剪
呙刀 剐
呙刂 剐
畐刀 副
畐刂 副
乘刀 剩
乘刂 剩
佥刀 剑
佥刂 剑
害刀 割
害刂 割
仓刀 创
仓刂 创
巢刀 剿
巢刂 剿
戈刀 划
戈刂 划
居刀 剧
居刂 剧
辟刀 劈
文刀 刘
文刂 刘
会刀 刽
会刂 刽
佥刀 剑
佥刂 剑
佥刀 剑
佥刂 剑
齐刀 剂
齐刂 剂
佥刀 剑
佥刂 剑
佥刀 剑
佥刂 剑
工力 功
力口 加
少力 劣
且力 助
奴力 努
去力 劫
草冖力 劳
艸冖力 劳
艹冖力 劳
圣力 劲
孛力 勃
甬力 勇
免力 勉
革力 勒
云力 动
甚力 勘
夕力 务
夂力 务
员力 勋
肉生 胜
月生 胜
草冖力 劳
艹冖力 劳
莫力 募
埶力勢 势
执力勢 势
堇力 勤
又力 劝
厉力 励
又力 劝
勹丶 勺
勹冰 匀
勹冫 匀
勹厶 勾
勹丿丿 勿
勹己 包
勿丶 匆
勹凶 匈
人匕 化
亻匕 化
丬匕 北
是匕 匙
匚巾 匝
匚斤 匠
匚王 匡
匚甲 匣
匚非 匪
水匚 汇
氵匚 汇
匸儿 匹
匚儿 匹
匸若 匿
匚若 匿
匸乂 区
匚乂 区
一丨 十
丿十 千
千丨 升
丿十丿 升
丿干 午
十廾 卉
丷一十 半
八一十 半
丶田丿十 卑
亠人十 卒
卜日十 卓
十办 协
十冂丫二 南
十尃 博
十甫寸 博
丨丶 卜
丶下 卞
卜口 占
上卜 卡
上下 卡
卬丿 卯
匸丿卩 卯
卬一 印
匸一卩 印
厃卩 危
刀厂卩 危
刀厂 危
艮卩 即
卯丶丶 卵
匸丿丶卪 卵
丷夫卩 卷
午止卩 卸
去卩 却
艮卩 即
卯艮卩 卿
匸丿即 卿
厂卩 厄
厂日子 厚
厂丁 厅
厂白小 原
厂泉 原
厂犬 厌
厂万 厉
亚丿 严
土厶 去
厶大彡 参
厶大三 叁
又丶 叉
乃乀 及
一丿又 友
厂又 反
上小又 叔
尗又 叔
耳又 取
爪冖又 受
爫冖又 受
半反 叛
从一 丛
丨乛一 口
冂一 口
十口 古
勹口 句
口力 另
口八 只
口丩 叫
刀口 召
口八 叭
口丁 叮
一口亅 可
丁口 可
厶口 台
口乂 史
一丿口 右
一口 司
口刁 叼
口于 吁
口乞 吃
夂口 各
人一口 合
士口 吉
冂一口 同
夕口 名
厂一口 后
一口乂 吏
一口丿乀 吏
口土 吐
丶冂口 向
口下 吓
尹口 君
文口 吝
天口 吞
口今 吟
口犬 吠
不口 否
口巴 吧
口分 吩
今口 含
口亢 吭
口允 吮
口支 吱
口天 吴
口少 吵
口内 呐
口及 吸
口欠 吹
口勿 吻
口孔 吼
五口 吾
口牙 呀
口口 吕
口木 呆
口王 呈
口天 吴
牛口 告
天口 吞
口尼 呢
冂土口 周
口未 味
口可 呵
口丕 呸
口不一 呸
口申 呻
口乎 呼
